image_path,question,answer
00/0004bef1.jpg,What is the bed's material?,Wood
00/0004bef1.jpg,What is the bed's size?,Single
00/0004bef1.jpg,What is on the floor?,Rug
00/0004bfb3.jpg,What is the bracelet's color?,Gold
00/0004bfb3.jpg,What shape are the bracelet's stones?,Square
00/0004bfb3.jpg,Is the bracelet connected?,Yes
00/00078fb9.jpg,What color is the microwave?,Black
00/00078fb9.jpg,What brand is printed on the microwave?,Amazonbasics
00/00078fb9.jpg,What shape is the window?,Rectangular
00/000de7e4.jpg,What color is the sole?,White
00/000de7e4.jpg,What secures the shoe?,Laces
00/000de7e4.jpg,What color is the shoe?,Black
00/000de7e4.jpg,What is the material near the heel?,Leather
00/000de7e4.jpg,How many shoes are present?,One
00/000e461b.jpg,What color is the bottom?,Blue
00/000e461b.jpg,What is the habitat made of?,Wire
00/000e461b.jpg,Is there a divider?,Yes
00/000f953e.jpg,What color is the shoe?,navy
00/000f953e.jpg,What are the laces made of?,fabric
00/000f953e.jpg,What is the outsole color?,white
00/00109b27.jpg,What color is the bag?,Black
00/00109b27.jpg,Is the bag tied?,Yes
00/00109b27.jpg,How many bags are visible?,One
00/001ba462.jpg,What color are the shoes?,Black
00/001ba462.jpg,How many straps cross the foot?,Four
00/001ba462.jpg,Is the toe design open?,Yes
00/0022f591.jpg,What is the prominent color?,Green
00/0022f591.jpg,What object is printed?,Bridge
00/0022f591.jpg,What is the case's texture?,Hard
00/0028bbb2.jpg,What color is the bag?,Brown
00/0028bbb2.jpg,Is the bag open or closed?,Open
00/0028bbb2.jpg,What shape is the hanging hook?,Hook
00/0028c871.jpg,What color is the mat?,Brown
00/0028c871.jpg,Is the mat rectangular?,Yes
00/0028c871.jpg,What shape is visible?,Rectangle
00/002e98af.jpg,What color is the ottoman?,Pearl
00/002e98af.jpg,What shape is the ottoman?,Square
00/002e98af.jpg,What color are the feet?,Black
00/0031afbc.jpg,What color is the feeder?,Black
00/0031afbc.jpg,What is inside the container?,Seeds
00/0031afbc.jpg,What shape is the base?,Round
00/0032361e.jpg,What shape is in the center?,Heart
00/0032361e.jpg,What is the main color?,Pink
00/0032361e.jpg,Is it shiny?,Yes
00/0033773b.jpg,What animal is featured?,Dog
00/0033773b.jpg,What color is the dog?,White
00/0033773b.jpg,What is the background?,Grass
00/0034be06.jpg,What shape are the earrings?,Spherical
00/0034be06.jpg,What is the earring's color?,Gold
00/0034be06.jpg,How many earrings are shown?,Two
00/00350f57.jpg,What color is the backpack?,Blue
00/00350f57.jpg,What is the backpack's type?,Backpack
00/00350f57.jpg,Is there a zipper?,Yes
00/00350f57.jpg,What material is it made of?,Fabric
00/00350f57.jpg,Are there pockets?,Yes
00/0036d764.jpg,What shape is the pendant?,California
