image_path,question,ground_truth,predicted_answer,exact_match,token_match,accuracy,f1_score,wup_score,meteor_score,bart_score,bertscore_precision,bertscore_recall,bertscore_f1
/kaggle/input/blip-dataset/images/images/small/b3/b3d72a47.jpg,What color are the large beads?,cream,white,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,-6.305522918701172,0.99837154,0.99837154,0.99837154
/kaggle/input/blip-dataset/images/images/small/b3/b3d72a47.jpg,How many large beads are there?,five,four,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,-5.808008670806885,0.99987596,0.99987596,0.99987596
/kaggle/input/blip-dataset/images/images/small/b3/b3d72a47.jpg,What is the chain's material?,silver,silver,1.0,1.0,1.0,1.0,1.0,0.5,-3.830038070678711,1.0,1.0,1.0
/kaggle/input/blip-dataset/images/images/small/d0/d0ad65f7.jpg,What color is the suitcase?,black,black,1.0,1.0,1.0,1.0,1.0,0.5,-3.8162429332733154,1.0,1.0,1.0
/kaggle/input/blip-dataset/images/images/small/d0/d0ad65f7.jpg,What is holding the handle?,hand,strap,0.0,0.0,0.0,0.0,0.7,0.0,-6.420400142669678,0.9992236,0.9992236,0.9992236
/kaggle/input/blip-dataset/images/images/small/d0/d0ad65f7.jpg,What is the handle made of?,metal,metal,1.0,1.0,1.0,1.0,1.0,0.5,-4.928848743438721,1.0000001,1.0000001,1.0000001
/kaggle/input/blip-dataset/images/images/small/3f/3f62f690.jpg,What color is the sofa?,brown,brown,1.0,1.0,1.0,1.0,1.0,0.5,-3.5236427783966064,0.9999999,0.9999999,0.9999999
/kaggle/input/blip-dataset/images/images/small/3f/3f62f690.jpg,How many pillows are there?,three,three,1.0,1.0,1.0,1.0,1.0,0.5,-3.110633134841919,1.0000001,1.0000001,1.0000001
/kaggle/input/blip-dataset/images/images/small/3f/3f62f690.jpg,What room is the sofa in?,living,living,1.0,1.0,1.0,1.0,1.0,0.5,-3.2063395977020264,1.0,1.0,1.0
/kaggle/input/blip-dataset/images/images/small/70/70f7b5ed.jpg,What color are the gems?,yellow,yellow,1.0,1.0,1.0,1.0,1.0,0.5,-3.3291327953338623,0.9999999,0.9999999,0.9999999
/kaggle/input/blip-dataset/images/images/small/70/70f7b5ed.jpg,How many earrings exist?,two,two,1.0,1.0,1.0,1.0,1.0,0.5,-2.6001012325286865,1.0000001,1.0000001,1.0000001
/kaggle/input/blip-dataset/images/images/small/70/70f7b5ed.jpg,What shape is the gem?,oval,round,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,-6.511874675750732,0.9995721,0.9995721,0.9995721
/kaggle/input/blip-dataset/images/images/small/a5/a53b9638.jpg,What is the necklace's metal color?,silver,silver,1.0,1.0,1.0,1.0,1.0,0.5,-3.830038070678711,1.0,1.0,1.0
/kaggle/input/blip-dataset/images/images/small/a5/a53b9638.jpg,What is the chain link type?,figaro,silver,0.0,0.0,0.0,0.0,0.0,0.0,-7.5370283126831055,0.9088532,0.7851969,0.84251195
